name,label,Description,DescriptionFR,GroupName1,WebsiteURL1,GroupName2,WebsiteURL2,GroupName3,WebsiteURL3,GroupName4,WebsiteURL4,TCTmapsURL,Scale,ProvinceTXT,ProvinceTXTFR,Length,category,categorie,TrailType,TypeSentier,Activities,ActivitesFR,pointX,pointY
AB border to Dawson Creek,AB border to Dawson Creek,"This section of The Great Trail starts at Rotary Park, Pioneer Village and the Mile Zero Campground, winds through the historical city of Dawson Creek, past parks, a library and behind the Dawson Creek Mall. Trail users have the options of hiking/walking, and cycling. The trail is wheelchair accessible and family friendly with dogs on leash permitted. The Trail crosses a creek and is part of the trail that runs through one of Dawson Creek’s natural areas, an area that contains many plants, birds, and other small wildlife. Courtesy of Dawson Creek Rotarians.","Ce segment du Grand Sentier part au parc Rotary, au village des pionniers et au terrain de camping Mile Zero, sillonne la ville de Dawson Creek riche d’histoire, côtoie des parcs et une bibliothèque et aboutit derrière le centre commercial Dawson Creek. Les utilisateurs du sentier ont le choix entre la randonnée, la marche et le vélo. Ce sentier familial est accessible en fauteuil roulant et les chiens y sont admis en laisse. Le sentier franchit un ruisseau et s’intègre à un sentier qui traverse l’une des zones naturelles de Dawson Creek – un secteur qui déborde de plantes, d’oiseaux et d’autres petits animaux sauvages. Publié avec l’autorisation de Dawson Creek Rotarians.",,,,,,,,,,,British Columbia,Colombie-Britannique,62.200000000000003,Road,Route,Gravel Road,Route en gravier,"Walking / hiking, Road cycling, Snowmobiling","Marche / randonnée pédestre, Vélo de route, Motoneige",-120.147534,55.744704990000002
Abbotsford Discovery Trail,Abbotsford Discovery Trail,"The Discovery Trail winds from park to park along creeks, lakes and fairgrounds from the west side of the city of Abbotsford to the mountains in the east, a paved corridor spanning through the community, connecting the East and West sides of Abbotsford. This extensive trail system is perfect for walking, running, rollerblading and cycling. The trail system winds through natural habitats and includes areas with forest, ponds, creeks and lush meadows. Interpretive signage along portions of the trail, as well as well-marked lookout spots, make the trail a great place for observing, photographing and learning about the community’s indigenous ecosystem. Courtesy of the City of Abbotsford.","Ce sentier de découverte mène d’un parc à l’autre en longeant des ruisseaux, des lacs et des champs de foire, de l’ouest d’Abbotsford vers les montagnes à l’est, sous forme d’un corridor pavé qui traverse la ville et relie ses secteurs de l’est à l’ouest. Ce vaste réseau de sentiers convient parfaitement à la promenade, à la course à pied, au patinage à roues alignées et au vélo. Les sentiers sillonnent des habitats naturels et comprennent des secteurs boisés, des étangs, des ruisseaux et des prés luxuriants. Les panneaux d’interprétation installés sur certains tronçons du sentier ainsi que les points de vue bien indiqués font du sentier l’endroit idéal pour observer, photographier et découvrir l’écosystème indigène de ce secteur. Publié avec l’autorisation de la ville d’Abbotsford.",Town of Abbotsford,https://www.abbotsford.ca/parks-recreation-culture/parks-trees-trails,Let's Go Biking,https://www.letsgobiking.net/intermediate/69-abbotsford-discovery-trai/,,,,,,,British Columbia,Colombie-Britannique,70.890000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Horseback riding","Marche / randonnée pédestre, Vélo de route, Équitation",-122.172926,49.062921029999998
Abbotsford Discovery Trail,Abbotsford Discovery Trail,"The Discovery Trail winds from park to park along creeks, lakes and fairgrounds from the west side of the city of Abbotsford to the mountains in the east, a paved corridor spanning through the community, connecting the East and West sides of Abbotsford. This extensive trail system is perfect for walking, running, rollerblading and cycling. The trail system winds through natural habitats and includes areas with forest, ponds, creeks and lush meadows. Interpretive signage along portions of the trail, as well as well-marked lookout spots, make the trail a great place for observing, photographing and learning about the community’s indigenous ecosystem. Courtesy of the City of Abbotsford.","Ce sentier de découverte mène d’un parc à l’autre en longeant des ruisseaux, des lacs et des champs de foire, de l’ouest d’Abbotsford vers les montagnes à l’est, sous forme d’un corridor pavé qui traverse la ville et relie ses secteurs de l’est à l’ouest. Ce vaste réseau de sentiers convient parfaitement à la promenade, à la course à pied, au patinage à roues alignées et au vélo. Les sentiers sillonnent des habitats naturels et comprennent des secteurs boisés, des étangs, des ruisseaux et des prés luxuriants. Les panneaux d’interprétation installés sur certains tronçons du sentier ainsi que les points de vue bien indiqués font du sentier l’endroit idéal pour observer, photographier et découvrir l’écosystème indigène de ce secteur. Publié avec l’autorisation de la ville d’Abbotsford.",Town of Abbotsford,https://www.abbotsford.ca/parks-recreation-culture/parks-trees-trails,Let's Go Biking,https://www.letsgobiking.net/intermediate/69-abbotsford-discovery-trai/,,,,,,,British Columbia,Colombie-Britannique,70.890000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Horseback riding","Marche / randonnée pédestre, Vélo de route, Équitation",-122.218884,49.052220030000001
Township of Selwyn,Township of Selwyn,"The Smith Ennismore Lakefield Township trail provides a direct connection to the communities of Peterborough and Lindsay via a connected and consistent trail experience. Greater still, this section links Toronto and the communities of Uxbridge and Kawartha Lake to Peterborough. This rail trail is a solid rock/compacted soil bed, for recreational use such as cycling, hiking/walking, and snowmobiling. Significant to this location at the east entrance is the wetland headwaters of Jackson Creek. The creek parallels the trail onto the city before flowing into Little Lake on the Otonobee River.","Le sentier Smith Ennismore Lakefield Township relie directement les collectivités de Peterborough et Lindsay, qui tirent parti de ce parcours entièrement raccordé. Qui plus est, ce tronçon assure la liaison entre Toronto, les collectivités d’Uxbridge et de Kawartha Lake et Peterborough. Le sentier ferroviaire repose sur une solide surface de roche ou de terre compactée, qui se prête à diverses activités récréatives, comme le vélo, la randonnée, la marche et la motoneige. L’un des principaux lieux d’intérêt du sentier se trouve à l’entrée est : l’eau d’amont de la zone humide du ruisseau Jackson. Ce ruisseau côtoie le sentier jusqu’à la ville, avant de se verser dans le lac Little de la rivière Otonabee.",Selwyn Township,https://www.selwyntownship.ca/en/discover-our-township/trails.aspx#Current-Trail-Networks,,,,,,,,,Ontario,Ontario,3.700000000000000,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Cross-country skiing, Snowmobiling, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Motoneige, Raquette",-78.43229,44.305382799999997
Alaska Highway - British Columbia,Alaska Highway - British Columbia,,,,,,,,,,,,,British Columbia,Colombie-Britannique,940.840000000000032,Road,Route,Paved Road,Route pavée,"Walking / hiking, Road cycling, Snowmobiling","Marche / randonnée pédestre, Vélo de route, Motoneige",-120.2766728,55.781087040000003
Alberta's Iron Horse Trail,Alberta's Iron Horse Trail,"The Iron Horse Trail is a very attractive part of the local landscape of North-Eastern Alberta. It has existed in its relatively natural state since approximately 1920. The trail follows the abandoned railroad right-of-way, connecting many small communities and several large towns. Some of the communities survive in name only, with the trail providing the last tangible evidence of these places. The trail crosses sloughs, aspen groves, pine forests, spruce forests, and winds among rolling hills and around lakes. The many culverts, exist in the original rail bed, and the numerous bridges and trestles, make it possible for trail users to experience the scenic wonders of the area with a minimum of difficulty. Courtesy of the  County of St. Paul","Le sentier Iron Horse constitue une destination très attrayante dans le nord-est de l’Alberta. Il s’y trouve dans son état relativement naturel depuis environ 1920. Ce sentier tire parti d’un droit de passage sur un chemin de fer abandonné, raccordant différentes petites communautés et plusieurs villes. Certaines de ces collectivités n’existent que de nom – le sentier représente le dernier souvenir de ces endroits. Il traverse des marécages, des bosquets de trembles, des pinèdes et des forêts d’épinettes noires, sillonnant des paysages vallonnés et contournant des lacs. Grâce aux nombreux ponceaux de l’ancienne assiette de rails, ainsi qu’aux ponts classiques et sur chevalet du sentier, ses utilisateurs peuvent admirer les paysages pittoresques du secteur avec un minimum d’efforts. Publié avec l’autorisation du comté de Saint-Paul.",Alberta's Iron Horse Trail,https://ironhorsetrail.ca/,,,,,,,,,Alberta,Alberta,176.580000000000013,Mixed-Use Trail,Sentier à usage mixte,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-112.7757791,54.092846969999997
Sturgeon County to Waskatenau Connector,Sturgeon County to Waskatenau Connector,"The historic Victoria Trail is the oldest road in Alberta that is still in regular use. It Began as a First Nation trail running along the banks of the North Saskatchewan River and winds through picturesque farmland from Secondary Highway 38, southeast of Redwater, to the Victoria Settlement Provincial Historic Site in south Smoky Lake County. Eventually becoming the chief overland route linking Fort Garry (Winnipeg) with Fort Edmonton (2nd), the trail was known by various names depending on the stretch being referred to, the “Victoria Trail” being used to describe that portion between Edmonton and Fort Victoria. Courtesy of Kalyna Country","Le légendaire sentier Victoria correspond au plus ancien chemin en Alberta qui est encore régulièrement emprunté. À l’origine un sentier des Premières Nations, il suit les berges de la rivière North Saskatchewan et sillonne des terres agricoles pittoresques de la route secondaire 38, au sud-est de Redwater, jusqu’au lieu historique provincial Victoria Settlement, au sud du district Smoky Lake County. Le sentier, qui a fini par devenir la principale voie terrestre entre Fort Garry (Winnipeg) et Fort Edmonton (le 2e), a porté plusieurs noms, selon le segment en question. Le « sentier Victoria » correspondait au tronçon entre Edmonton et Fort Victoria. Publié avec l’autorisation de Kalyna Country.",Kalyna Country,http://www.kalynacountry.com/victoria-trail/,,,,,,,,,Alberta,Alberta,20.510000000000002,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road","Sentier en poussière de pierre, Route en gravier","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-112.9016639,53.977934970000000
Athabasca Landing Trail,Athabasca Landing Trail,"The Athabasca Landing Trail was the first overland route between Edmonton and the southern loop of the Athabasca River. Built by the Hudson’s Bay Company in 1876, it was originally used by fur traders, missionaries, Klondike gold prospectors and homesteaders. The 162-kilometer trail crosses valleys, open countryside and woodland. On foot, horseback, cycling, cross-country skiing or by snowmobile, the user will be treated to the scenic Sturgeon and Tawatinaw River Valleys, pine studded sand dunes, and abundant wildlife.","Le sentier Athabasca Landing a été la toute première route terrestre à relier Edmonton à la boucle Sud de la rivière Athabasca. Construite par la Compagnie de la Baie d’Hudson en 1876, la route a d’abord été utilisée par les commerçants de fourrures, les missionnaires, les prospecteurs d’or du Klondike et les homesteaders, ces colons de l’Ouest canadien. Ce sentier long de 162 kilomètres traverse des vallées, des étendues de campagne et des milieux forestiers. À pied, à cheval, à vélo, en ski de fond ou en motoneige, les usagers se régaleront à la vue des pittoresques vallées des rivières Sturgeon et Tawatinaw, des dunes parsemées de pins et de la faune abondante.",Visit Athabasca,https://www.visitathabasca.ca/amenities/great-outdoors/trails/,Alberta TrailNet,http://www.albertatrailnet.com/for-trail-users/trans-canada-trail/fact-sheets/athabasca-landing/,,,,,,935000,Alberta,Alberta,164.669999999999987,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Vélo de montagne, Raquette",-113.2366275,53.707543989999998
City of Airdrie,City of Airdrie,,,,,,,,,,,,,Alberta,Alberta,14.400000000000000,"Greenway, Road","Corridor vert, Route","Paved Trail, Paved Road","Sentier pavé, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-113.9927293,51.256531699999996
"Athabasca River, Slave River Water Trail","Athabasca River, Slave River Water Trail","The section of river from Athabasca to the Alberta Border makes up part of The Great Trail water route. Between Fort McMurray and Athabasca is the historic site of Grand Rapids, which lies within Grand Rapids Wildland Provincial Park. The park is owned and operated by the Province of Alberta's department of Tourism, Parks and Recreation. Trail users have the opportunity to walk, hike and paddle on this section of the trail. 
Courtesy of: Alberta TrailNet.","Cette partie de la rivière correspond à la voie navigable du Grand Sentier allant d’Athabasca jusqu’à la frontière de l’Alberta. Grand Rapids de la rivière Athabasca est un site historique sis en amont de Fort McMurray et en aval d’Athabasca. Il se trouve dans l’un des parcs sauvages d’Alberta, le parc provincial Grand Rapids, et appartient à Alberta Tourism, Parks and Recreation, qui en assure l’exploitation. Les utilisateurs de ce tronçon du sentier peuvent s’adonner à la marche, à la randonnée pédestre et au canotage. 
Publié avec l’autorisation d’Alberta TrailNet.",Paddle Alberta,https://paddlealberta.org/alberta-map/,Athabasca County,https://www.visitathabasca.ca/wp-content/uploads/2015/01/Athabasca-River-Runners-Trail-Map-2015_ARR-MapW3o-1.pdf,,,,,,,Alberta,Alberta,826.870000000000005,"Greenway, Water Route","Corridor vert, Voie navigable","Natural Trail, Water Trail","Sentier naturel, Voie navigable",Paddling,Canotage,-113.2738859,54.728085810000003
